                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.74743,                0.65888,                  1.312,                0.65845,                0.70159,                0.71949,                0.54022,                0.95318,                0.86303,                 1.5691,              0.0001211,              0.0001211,              0.0001211
                     92,                0.72723,                0.60386,                 1.2922,                0.66184,                 0.7077,                0.72228,                0.53624,                0.97638,                 0.8579,                 1.6024,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.7314,                0.61375,                 1.2969,                0.66561,                0.72313,                0.73067,                0.54672,                0.96461,                 0.8679,                 1.6027,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.70632,                0.60027,                 1.2854,                 0.6592,                0.73252,                0.73496,                0.55086,                0.95305,                0.85372,                 1.5761,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.71205,                0.60354,                  1.287,                0.69256,                 0.6883,                0.73193,                0.54965,                0.95834,                0.86867,                 1.5851,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 0.7085,                0.60318,                 1.2812,                0.66435,                0.72551,                0.73504,                0.54898,                0.96706,                0.88132,                 1.5955,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.71294,                0.57981,                 1.2909,                0.68793,                0.69347,                0.73691,                0.55763,                0.94271,                0.86006,                 1.5633,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.69695,                0.58342,                 1.2769,                0.68392,                0.69928,                0.73237,                0.55308,                0.95929,                0.84155,                  1.581,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 0.6787,                0.55875,                 1.2592,                0.64746,                0.73895,                0.73624,                0.55771,                0.92167,                0.83134,                 1.5357,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.67541,                0.55894,                 1.2497,                0.65167,                0.74711,                0.73792,                0.55806,                0.94364,                0.84797,                 1.5621,             2.2109e-05,             2.2109e-05,             2.2109e-05
